Date,Exchange rate
2018-04-03,1.22781
2018-04-04,1.22872
2018-04-05,1.22485
2018-04-06,1.22792
2018-04-08,1.22709
2018-04-09,1.23206
2018-04-10,1.23627
2018-04-11,1.23719
2018-04-12,1.23295
2018-04-13,1.23282
2018-04-15,1.23316
2018-04-16,1.23837
2018-04-17,1.23724
2018-04-18,1.23785
2018-04-19,1.2343
2018-04-20,1.22846
2018-04-22,1.22737
2018-04-23,1.22092
2018-04-24,1.22372
2018-04-25,1.21706
2018-04-26,1.21081
2018-04-27,1.21291
2018-04-29,1.21226
2018-04-30,1.20815
2018-05-01,1.1991
2018-05-02,1.19504
2018-05-03,1.19886
2018-05-04,1.1955
2018-05-06,1.19545
2018-05-07,1.19331
2018-05-08,1.18671
2018-05-09,1.18467
2018-05-10,1.19137
2018-05-11,1.19395
2018-05-13,1.19524
2018-05-14,1.19309
2018-05-15,1.18203
2018-05-16,1.18146
2018-05-17,1.179
2018-05-18,1.17689
2018-05-20,1.17651
2018-05-21,1.17899
2018-05-22,1.17878
2018-05-23,1.17091
2018-05-24,1.17219
2018-05-25,1.16478
2018-05-27,1.16884
2018-05-28,1.16261
2018-05-29,1.15375
2018-05-30,1.16646
2018-05-31,1.16922
2018-06-01,1.16584
2018-06-03,1.16672
2018-06-04,1.17
2018-06-05,1.17261
2018-06-06,1.17813
2018-06-07,1.17931
2018-06-08,1.17666
2018-06-10,1.17845
2018-06-11,1.17725
2018-06-12,1.17475
2018-06-13,1.18032
2018-06-14,1.15633
2018-06-15,1.16059
2018-06-17,1.1593
2018-06-18,1.16298
2018-06-19,1.15881
2018-06-20,1.15773
2018-06-21,1.16043
2018-06-22,1.16561
2018-06-24,1.166
2018-06-25,1.17009
2018-06-26,1.16493
2018-06-27,1.15629
2018-06-28,1.15634
2018-06-29,1.16847
2018-07-01,1.16786
2018-07-02,1.16415
2018-07-03,1.16589
2018-07-04,1.16601
2018-07-05,1.16918
2018-07-06,1.17444
2018-07-08,1.17517
2018-07-09,1.1756
2018-07-10,1.17279
2018-07-11,1.16749
2018-07-12,1.16638
2018-07-13,1.16843
2018-07-15,1.16783
2018-07-16,1.1709
2018-07-17,1.1653
2018-07-18,1.16449
2018-07-19,1.16544
2018-07-20,1.17196
2018-07-22,1.17403
2018-07-23,1.16934
2018-07-24,1.16845
2018-07-25,1.17379
2018-07-26,1.16437
2018-07-27,1.16559
2018-07-29,1.16591
2018-07-30,1.17071
2018-07-31,1.1689
2018-08-01,1.16631
2018-08-02,1.1585
2018-08-03,1.1567
2018-08-05,1.15615
2018-08-06,1.15579
2018-08-07,1.16029
2018-08-08,1.16092
2018-08-09,1.1524
2018-08-10,1.1409
2018-08-12,1.13946
2018-08-13,1.14004
2018-08-14,1.13466
2018-08-15,1.13416
2018-08-16,1.13718
2018-08-17,1.14379
2018-08-19,1.14378
2018-08-20,1.14918
2018-08-21,1.15759
2018-08-22,1.15857
2018-08-23,1.15419
2018-08-24,1.16205
2018-08-26,1.16451
2018-08-27,1.1684
2018-08-28,1.16932
2018-08-29,1.17093
2018-08-30,1.16654
2018-08-31,1.15997
2018-09-02,1.1598
2018-09-03,1.16138
2018-09-04,1.15871
2018-09-05,1.16344
2018-09-06,1.16198
2018-09-07,1.1552
2018-09-09,1.15607
2018-09-10,1.15935
2018-09-11,1.15955
2018-09-12,1.16253
2018-09-13,1.16911
2018-09-14,1.16227
2018-09-16,1.16234
2018-09-17,1.16685
2018-09-18,1.16775
2018-09-19,1.1674
2018-09-20,1.17755
2018-09-21,1.17473
2018-09-23,1.17485
2018-09-24,1.17523
2018-09-25,1.17628
2018-09-26,1.17469
2018-09-27,1.1636
2018-09-28,1.16019
2018-09-30,1.16052
2018-10-01,1.15769
2018-10-02,1.15503
2018-10-03,1.14764
2018-10-04,1.15173
2018-10-05,1.15174
2018-10-07,1.15238
2018-10-08,1.14941
2018-10-09,1.15046
2018-10-10,1.1533
2018-10-11,1.159
2018-10-12,1.15571
2018-10-14,1.15504
2018-10-15,1.15828
2018-10-16,1.15762
2018-10-17,1.15011
2018-10-18,1.14539
2018-10-19,1.15142
2018-10-21,1.15105
2018-10-22,1.14646
2018-10-23,1.14706
2018-10-24,1.13988
2018-10-25,1.13753
2018-10-26,1.14021
2018-10-28,1.1398
2018-10-29,1.13755
2018-10-30,1.13453
2018-10-31,1.13145
2018-11-01,1.14027
